"Scenario","Method","2y","5y","10y","median","RMS"
"Base","AFT.GG",8.0212944e-05,0.000137963416,0.000143324861723447,0.10648040971,0.023632880792
"Base","AFT.WBL.LS",9.2371856e-05,0.000119304428,0.000151713785571142,0.071594760316,0.0204774294
"Base","CTV.LPW",0.000142291156,0.00017776366,0.000150674008016032,0.091055989498,0.020627424356
"Base","CTV.LT",0.000113898766,0.000127733386,0.000148565092184369,0.087589338336,0.020635228824
"Base","NCM",4.8338e-05,0.00010975376,0.000140362921843687,0.097007107804,0.020813346564
"Base","NUA",0.000137551704,0.000193730548,0.000195014280561122,0.104582230146,0.02311173694
"Base","PO",0.00014610595,0.000181478252,0.000179866178356713,0.10376935215,0.021224466274
"Base","WKM",0.000143050798,0.000179706976,0.000177337068136273,0.101070436142,0.020618029298
"LPW","AFT.GG",7.8093488589217e-05,0.000142693866910086,0.000173057676429534,0.144374405661866,0.0252675995253326
"LPW","AFT.WBL.LS",0.000102076992199937,0.000129379463439476,0.000159040228077241,0.150663227666583,0.022491918544293
"LPW","CTV.LPW",0.000170133293577834,0.000184556154633569,0.000153515289580399,0.200416783627267,0.0227435439753452
"LPW","CTV.LT",0.000156760906499435,0.000146441074562901,0.000151576817156397,0.224666736345474,0.0230163351598625
"LPW","NCM",6.9766603570866e-05,0.000122882014251777,0.000150689159464762,0.138550273114767,0.0221298809735741
"LPW","NUA",0.00016864208333541,0.000197982264655046,0.000194482337282913,0.178818051317257,0.025193967230561
"LPW","PO",0.00017572813988116,0.000188539642581739,0.000177751072835617,0.231804483132933,0.0234692347273151
"LPW","WKM",0.000172408339699662,0.000186478375654839,0.00017511133437129,0.223383607331153,0.0228813238789665
"Modest NPH","AFT.GG",7.48489266093064e-05,0.000124130962899403,0.000138671289221047,0.153004818290062,0.0227673042762506
"Modest NPH","AFT.WBL.LS",9.38762108052019e-05,0.000119061684077854,0.000152774573897556,0.113097335762897,0.0216980325598398
"Modest NPH","CTV.LPW",0.000143482166260558,0.000175791307861142,0.00015185573573831,0.145307754318091,0.0218506626482014
"Modest NPH","CTV.LT",0.000119722083454483,0.000129244499543261,0.000149347052200087,0.146325851750347,0.0220018146844531
"Modest NPH","NCM",5.11178224564206e-05,0.000109471003742244,0.000143466010597889,0.161993444223346,0.0218640918532325
"Modest NPH","NUA",0.000139136882794903,0.000191840072060651,0.000198232755910448,0.138234711181066,0.0240853369254286
"Modest NPH","PO",0.00014737657497526,0.000179189882264608,0.000179647032280954,0.157873523825429,0.0224719436834872
"Modest NPH","WKM",0.000144282744761117,0.000177402310596208,0.000177056471779928,0.153527859721611,0.0218582594643237
"Modest TE","AFT.GG",7.24603285189046e-05,0.000140032607302149,0.000146910362671923,0.0617312269969326,0.0231589012342112
"Modest TE","AFT.WBL.LS",9.8017253328342e-05,0.000124112739623625,0.000148423281547972,0.0504241161557652,0.0200596909908367
"Modest TE","CTV.LPW",0.000152497007008408,0.000184771819445009,0.00014741259637955,0.0657789349471537,0.0200921957913154
"Modest TE","CTV.LT",0.000121291840811751,0.000132151533202784,0.000144867196517171,0.0579245930261866,0.020134761072847
"Modest TE","NCM",5.05341292611155e-05,0.000115542017748238,0.000136013782001209,0.0543427267353338,0.0200500597045903
"Modest TE","NUA",0.000150111890372693,0.000199163348866881,0.000184058195067872,0.0849704684230498,0.0228400740834997
"Modest TE","PO",0.000156534019216172,0.000189040139787381,0.000175659320669245,0.0763818367846805,0.0207494183834351
"Modest TE","WKM",0.000153544881338031,0.000187006434234086,0.000173334052086122,0.0744285981509896,0.0201568972449276
"Small SS","AFT.GG",0.000430393756,0.00071845854,0.000744287106,0.574823578868,0.106797975562
"Small SS","AFT.WBL.LS",0.000472259736,0.000616618222,0.000785918748,0.37950432608,0.09186426281
"Small SS","CTV.LPW",0.000738298234,0.000915276804,0.00077934502,0.495974707362,0.092864019392
"Small SS","CTV.LT",0.000592757114,0.000660869796,0.000768252756,0.47723749718,0.093027488708
"Small SS","NCM",0.000254458228,0.000570813922,0.000724702662,0.527161562184,0.0922664552
"Small SS","NUA",0.000696037762,0.000976000572,0.000979516292,0.54286988694,0.101952151844
"Small SS","PO",0.000812566678,0.000966340628,0.000944335774,0.584490941592,0.101396115238
"Small SS","WKM",0.000743760074,0.000926234324,0.000915460088,0.558361429796,0.093677599802
"GG lambda -0.5","AFT.GG",6.96292279954031e-05,0.000112896439556782,0.000109015343127361,0.0929211566840091,0.0183630539835433
"GG lambda -0.5","AFT.WBL.LS",5.13395775169962e-05,0.000104756982293967,0.000173029106234583,0.0812354354076493,0.0211924141237551
"GG lambda -0.5","CTV.LPW",0.000116250554238538,0.000171860636597104,0.000160422438452061,0.141355181194829,0.0209003157677808
"GG lambda -0.5","CTV.LT",8.654559012449e-05,0.000124143376454454,0.000158512523213614,0.13340611881846,0.0206985934389739
"GG lambda -0.5","NCM",3.78150471032633e-05,0.000111878926773469,0.000147925395402903,0.166121920594284,0.0215434817529935
"GG lambda -0.5","NUA",0.00011344504919531,0.000191247793442537,0.000196084284738216,0.123586690529518,0.0221531586144341
"GG lambda -0.5","PO",0.000120239037576415,0.000178679001752541,0.000189992927870578,0.154513352872411,0.0217979354101065
"GG lambda -0.5","WKM",0.000116617614168458,0.00017432613342399,0.000186060254055452,0.14903830064432,0.0208599299515014
"GG lambda 2.5","AFT.GG",8.21681507957341e-05,0.000132082433621091,0.000177040169628405,0.251494491677899,0.027339677517691
"GG lambda 2.5","AFT.WBL.LS",0.000143668062867637,0.000151709963059508,0.000168959016340386,0.32660507828886,0.0290239464839468
"GG lambda 2.5","CTV.LPW",0.000196027478111454,0.000208446100918192,0.00018028279240738,0.313828768447571,0.0303797663113152
"GG lambda 2.5","CTV.LT",0.00020621907255525,0.000175289101840822,0.00017315132727585,0.551579424108842,0.0312055938949711
"GG lambda 2.5","NCM",0.000104013641253015,0.000149971443576398,0.00017438339874866,0.266675302259305,0.0294287200625786
"GG lambda 2.5","NUA",0.000182514032930041,0.000198045953540673,0.000196044497901093,0.263585341386743,0.0290127405990409
"GG lambda 2.5","PO",0.000203882365088648,0.000211864386601086,0.000201304630039991,0.329864233132933,0.031037430541441
"GG lambda 2.5","WKM",0.000198802734324542,0.000209299392856843,0.000199807626764628,0.323051566339622,0.0305190474183111
